City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,mitchell,43.7094,-98.0298,3.99,75,0,5.66,US,1741486980
156,papao,-17.75,-149.55,29.82,76,85,6.04,PF,1741487120
157,santa ana,33.7456,-117.8678,16.62,64,0,2.57,US,1741486529
158,atafu village,-8.5421,-172.5159,26.51,76,100,1.31,TK,1741487122
159,labrador city,52.9463,-66.9114,-12.05,79,100,8.75,CA,1741487123
160,talnakh,69.4865,88.3972,-29.59,85,12,1.81,RU,1741487124
161,lokomotivnyy,53.0118,60.5684,-17.35,99,92,2.82,RU,1741487126
162,portland,45.5234,-122.6762,13.52,70,0,0.89,US,1741486912
163,dzhangala,49.2167,50.3333,-1.86,87,7,2.07,KZ,1741487128
164,abaza,52.655,90.0928,-6.24,87,99,1.73,RU,1741487129
165,kailua-kona,19.6406,-155.9956,26.27,71,94,1.34,US,1741487130
166,callao,-12.0667,-77.15,24.29,78,0,3.6,PE,1741486967
167,skiathos,39.1623,23.4909,11.65,58,2,4.63,GR,1741487132
168,kavieng,-2.5744,150.7967,30.2,68,35,6.69,PG,1741487133
169,anadyr,64.75,177.4833,-16.72,64,0,1.0,RU,1741487134
170,dabakala,8.3667,-4.4333,26.28,76,100,2.32,CI,1741487136
171,cinco saltos,-38.8222,-68.0629,14.85,58,0,1.03,AR,1741487137
172,hell-ville,-13.4,48.2667,27.22,81,85,9.28,MG,1741487138
173,muang phonsavan,19.45,103.2167,18.24,75,48,1.21,LA,1741487139
174,booue,-0.0921,11.9385,23.43,99,98,0.79,GA,1741487140
175,isla vista,34.4133,-119.861,15.2,60,0,1.22,US,1741487045
176,khetri,27.9833,75.8,18.11,32,0,2.03,IN,1741487142
177,urengoy,65.9667,78.3667,-26.13,97,27,3.71,RU,1741487144
178,remire-montjoly,4.9167,-52.2667,24.02,100,75,1.54,GF,1741487129
179,minas de marcona,-15.2119,-75.1103,18.58,73,98,4.6,PE,1741487146
180,nev'yansk,57.4953,60.2112,-19.19,100,100,1.05,RU,1741487147
181,vredendal,-31.6683,18.5012,18.66,87,100,2.92,ZA,1741487148
182,vilyuchinsk,52.9306,158.4028,-6.85,53,94,8.33,RU,1741487149
183,colonia,50.9333,6.95,7.2,67,0,2.06,DE,1741486946
184,parras de la fuente,25.4167,-102.1833,16.35,10,0,3.3,MX,1741487151
185,klamath falls,42.2249,-121.7817,12.95,39,0,0.0,US,1741487153
186,sinabang,2.4803,96.3801,28.03,76,15,4.64,ID,1741487154
187,bilibino,68.0546,166.4372,-14.35,78,100,1.06,RU,1741487155
188,carutapera,-1.195,-46.02,24.38,94,100,1.89,BR,1741487157
189,saacow,1.6279,42.4407,26.34,77,60,5.72,SO,1741487158
190,alpena,45.0617,-83.4327,-0.5,87,100,1.54,US,1741487160
191,myeik,12.4333,98.6,27.18,71,11,3.01,MM,1741487161
192,puerto madryn,-42.7692,-65.0385,13.63,53,2,4.48,AR,1741487162
193,labytnangi,66.6572,66.4183,-26.06,99,60,1.38,RU,1741487163
194,nagqu,31.5,92.0,-9.7,37,0,2.15,CN,1741487165
195,savalou,7.9281,1.9756,28.44,67,100,2.37,BJ,1741487166
196,likasi,-10.9814,26.7333,17.09,99,100,0.89,CD,1741487167
197,sola,-13.8833,167.55,27.82,71,98,1.47,VU,1741487168
198,pangody,65.85,74.4859,-28.45,100,46,3.8,RU,1741487169
199,conde,-7.2597,-34.9075,24.7,100,40,1.54,BR,1741486971
200,trelissac,45.1977,0.7862,13.25,70,100,1.34,FR,1741487171
201,turpan,42.9333,89.1667,9.4,35,100,0.92,CN,1741487172
202,tyuratam,45.6507,63.3156,-0.5,85,94,5.8,KZ,1741487173
203,robbah,33.2797,6.9098,16.8,35,0,5.51,DZ,1741487175
204,krychaw,53.6945,31.7099,3.81,77,50,1.72,BY,1741487176
205,zalingei,12.9096,23.4741,20.9,22,65,3.27,SD,1741487177
206,meadow lake,34.8014,-106.5436,3.14,37,35,4.74,US,1741487178
207,sarangani,5.4033,125.4636,25.44,85,100,9.37,PH,1741487179
208,mhamid,29.82,-5.72,15.08,57,0,8.84,MA,1741487181
209,topolobampo,25.6,-109.05,17.95,45,0,6.69,MX,1741487182
210,zouerate,22.7187,-12.4521,16.3,68,0,4.55,MR,1741487183
211,rizhao,35.4275,119.4553,8.76,59,47,3.87,CN,1741487185
212,kismayo,-0.3582,42.5454,25.98,86,39,4.62,SO,1741487186
213,lerwick,60.1545,-1.1494,7.89,94,100,1.15,GB,1741487187
214,tromso,69.6496,18.957,0.01,100,75,4.12,NO,1741487188
215,susuman,62.7833,148.1667,-27.94,85,99,1.95,RU,1741487190
216,tulun,54.5611,100.5792,-2.57,91,100,2.28,RU,1741487122
217,praia da vitoria,38.7333,-27.0667,13.14,76,75,10.79,PT,1741487192
218,prado,-17.3411,-39.2208,24.76,81,0,2.77,BR,1741487193
219,pudozh,61.8099,36.5345,0.85,90,100,6.06,RU,1741487194
220,rabigh,22.7986,39.0349,19.99,57,0,3.38,SA,1741487196
221,guanica,17.9716,-66.908,23.88,77,94,2.13,PR,1741487197
222,glazunovka,52.4986,36.3275,3.42,80,64,3.13,RU,1741487198
223,shangrao,28.4532,117.9686,8.83,77,100,2.16,CN,1741487199
224,cabo san lucas,22.8909,-109.9124,19.31,66,0,2.06,MX,1741487008
225,ixtapa,20.7,-105.2,22.57,68,0,3.09,MX,1741487201
226,ponta delgada,37.7333,-25.6667,13.4,76,40,7.2,PT,1741487202
227,alton north (historical),26.2953,-98.3045,29.96,50,0,4.12,US,1741487203
228,manokwari,-0.8667,134.0833,28.69,72,55,5.39,ID,1741487204
229,vorgashor,67.5833,63.95,-26.7,100,20,1.59,RU,1741487206
230,sakiai,54.9547,23.0358,6.01,75,51,1.45,LT,1741487207
231,happy valley-goose bay,53.3168,-60.3315,0.17,86,100,4.63,CA,1741487209
232,buritizeiro,-17.3511,-44.9622,24.31,48,100,1.34,BR,1741487210
233,aykhal,66.0,111.5,-27.75,93,62,1.06,RU,1741487211
234,port elizabeth,-33.918,25.5701,22.4,87,0,5.14,ZA,1741487212
235,progreso,21.2833,-89.6667,25.32,85,0,2.82,MX,1741487213
236,college,64.8569,-147.8028,-2.01,58,100,1.54,US,1741487215
237,sao jose de ribamar,-2.5619,-44.0542,26.21,84,100,4.71,BR,1741487216
